School,ID
Valley School,120
Valley School,156
Valley View Middle,380
Valley View School,158
Valley View School,194
Valley View School,176
Vanguard Academy,01K
Vanguard Academy,700
Venture Academy,03F
Venture Academy,100
Vernal Middle,310
Vernon School,136
Viewmont High,712
Viewmont School,130
Village 8 Daybreak,179
Vineyard School,177
Vista Heights Middle,490
Vista School,02G
Vista School,201
Vista School,100
Voyage Academy,05I
Voyage Academy,100
Wahlquist Jr High,416
Walden School of Liberal Arts,81
Walden School of Liberal Arts,300
Wallace Stegner Academy,07K
Wallace Stegner Academy,300
Wasatch Alternative High,708
Wasatch District,32
Wasatch High,704
Wasatch Jr High,432
Wasatch Learning Academy,206
Wasatch Mt. Jr High,412
Wasatch Peak Academy,04B
Wasatch Peak Academy,100
Wasatch School,272
Wasatch School,184
Wasatch School,132
Wasatch School,180
Wasatch School,183
Wasatch Waldorf Charter School,05K
Wasatch Waldorf Charter School,300
Washington County Stars Program,250
Washington District,33
Washington Fields Intermediate,302
Washington High,730
Washington Preschool,220
Washington School,140
Washington School,276
Washington School,182
Washington Terrace School,160
Water Canyon High,518
Wayne District,34
Wayne High,704
Wayne Middle,302
Weber Basin Job Corps,760
Weber District,35
Weber High,704
Weber Innovation High School,725
Weber State University Charter Academy,07I
Weber State University Charter Academy,100
Weilenmann School of Discovery,06G
Weilenmann School of Discovery,100
Welby School,167
Wellington School,154
Wellsville School,170
Wendover High,714
West Bountiful School,184
West Clinton School,186
West Desert High School,708
West Desert School,112
West Haven School,162
West High,716
West Hills Middle,414
West Jordan High,718
West Jordan Middle,412
West Jordan School,168
West Kearns School,204
West Lake Jr High,434
West Point Jr High,422
West Point School,188
West School,142
West Valley School,206
West Weber School,164
Westbrook School,205
Western Hills School,202
Westfield School,180
Westlake High,789
Westland School,170
Westmore School,178
Westridge School,134
Westside School,180
Westvale School,169
White Pine Middle,335
White Pine School,152
Whitehorse High,710
Whitesides School,192
Whittier School,288
Whittier School,208
Willard School,200
William Penn School,212
Willow Canyon School,174
Willow School,146
Willow Springs School,178
Willow Valley Middle,340
Willowcreek Middle,425
Wilson School,184
Wilson School,116
Windridge School,149
Windsor School,182
Winter Sports School,08I
Winter Sports School,700
Woodrow Wilson School,216
Woodruff School,120
Woods Cross High,714
Woods Cross School,152
Woodstock School,220
Young Intermediate,308
Young Parent NW,626
Young Women's Empowerment Center (YIC),703
Youth Educational Support School,501
"Youth Health Associates, Draper Home (YIC)",21
